S,rd,price
0.15189873,-0.01172414,0.00000000
0.15189873,-0.00758621,0.00000000
0.15189873,-0.00344828,0.00000000
0.15189873,0.00068966,0.00000000
0.15189873,0.00482759,0.00000000
0.15189873,0.00896552,0.00000000
0.15189873,0.01310345,0.00000000
0.15189873,0.01724138,0.00000000
0.15189873,0.02137931,0.00000000
0.15189873,0.02551724,0.00000000
0.15189873,0.02965517,0.00000000
0.15189873,0.03379310,0.00000000
0.15189873,0.03793103,0.00000000
0.15189873,0.04206897,0.00000000
0.15189873,0.04620690,0.00000000
0.15189873,0.05034483,0.00000000
0.15189873,0.05448276,0.00000000
0.15189873,0.05862069,0.00000000
0.15189873,0.06275862,0.00000000
0.15189873,0.06689655,0.00000000
0.15189873,0.07103448,0.00000000
0.15189873,0.07517241,0.00000000
0.15189873,0.07931034,0.00000000
0.15189873,0.08344828,0.00000000
0.15189873,0.08758621,0.00000000
0.15189873,0.09172414,0.00000000
0.15189873,0.09586207,0.00000000
0.15189873,0.10000000,0.00000000
0.20253165,-0.02000000,0.00000000
0.20253165,-0.01586207,0.00000000
0.20253165,-0.01172414,0.00000000
0.20253165,-0.00758621,0.00000000
0.20253165,-0.00344828,0.00000000
0.20253165,0.00068966,0.00000000
0.20253165,0.00482759,0.00000000
0.20253165,0.00896552,0.00000000
0.20253165,0.01310345,0.00000000
0.20253165,0.01724138,0.00000000
0.20253165,0.02137931,0.00000000
0.20253165,0.02551724,0.00000000
0.20253165,0.02965517,0.00000000
0.20253165,0.03379310,0.00000000
0.20253165,0.03793103,0.00000000
0.20253165,0.04206897,0.00000000
0.20253165,0.04620690,0.00000000
0.20253165,0.05034483,0.00000000
0.20253165,0.05448276,0.00000000
0.20253165,0.05862069,0.00000000
0.20253165,0.06275862,0.00000000
0.20253165,0.06689655,0.00000000
0.20253165,0.07103448,0.00000000
0.20253165,0.07517241,0.00000000
0.20253165,0.07931034,0.00000000
0.20253165,0.08344828,0.00000000
0.20253165,0.08758621,0.00000000
0.20253165,0.09172414,0.00000000
0.20253165,0.09586207,0.00000000
0.20253165,0.10000000,0.00000000
0.25316456,-0.02000000,0.00000000
0.25316456,-0.01586207,0.00000000
0.25316456,-0.01172414,0.00000000
0.25316456,-0.00758621,0.00000000
0.25316456,-0.00344828,0.00000000
0.25316456,0.00068966,0.00000000
0.25316456,0.00482759,0.00000000
0.25316456,0.00896552,0.00000000
0.25316456,0.01310345,0.00000000
0.25316456,0.01724138,0.00000000
0.25316456,0.02137931,0.00000000
0.25316456,0.02551724,0.00000000
0.25316456,0.02965517,0.00000000
0.25316456,0.03379310,0.00000000
0.25316456,0.03793103,0.00000000
0.25316456,0.04206897,0.00000000
0.25316456,0.04620690,0.00000000
0.25316456,0.05034483,0.00000000
0.25316456,0.05448276,0.00000000
0.25316456,0.05862069,0.00000000
0.25316456,0.06275862,0.00000000
0.25316456,0.06689655,0.00000000
0.25316456,0.07103448,0.00000000
0.25316456,0.07517241,0.00000000
0.25316456,0.07931034,0.00000000
0.25316456,0.08344828,0.00000000
0.25316456,0.08758621,0.00000000
0.25316456,0.09172414,0.00000000
0.25316456,0.09586207,0.00000000
0.25316456,0.10000000,0.00000000
0.30379747,-0.02000000,0.00000000
0.30379747,-0.01586207,0.00000000
0.30379747,-0.01172414,0.00000000
0.30379747,-0.00758621,0.00000000
0.30379747,-0.00344828,0.00000000
0.30379747,0.00068966,0.00000000
0.30379747,0.00482759,0.00000000
0.30379747,0.00896552,0.00000000
0.30379747,0.01310345,0.00000000
0.30379747,0.01724138,0.00000000
0.30379747,0.02137931,0.00000000
0.30379747,0.02551724,0.00000000
0.30379747,0.02965517,0.00000000
0.30379747,0.03379310,0.00000000
0.30379747,0.03793103,0.00000000
0.30379747,0.04206897,0.00000000
0.30379747,0.04620690,0.00000000
0.30379747,0.05034483,0.00000000
0.30379747,0.05448276,0.00000000
0.30379747,0.05862069,0.00000000
0.30379747,0.06275862,0.00000000
0.30379747,0.06689655,0.00000000
0.30379747,0.07103448,0.00000000
0.30379747,0.07517241,0.00000000
0.30379747,0.07931034,0.00000000
0.30379747,0.08344828,0.00000000
0.30379747,0.08758621,0.00000000
0.30379747,0.09172414,0.00000000
0.30379747,0.09586207,0.00000000
0.30379747,0.10000000,0.00000000
0.35443038,-0.02000000,0.00000000
0.35443038,-0.01586207,0.00000000
0.35443038,-0.01172414,0.00000000
0.35443038,-0.00758621,0.00000000
0.35443038,-0.00344828,0.00000000
0.35443038,0.00068966,0.00000000
0.35443038,0.00482759,0.00000000
0.35443038,0.00896552,0.00000000
0.35443038,0.01310345,0.00000000
0.35443038,0.01724138,0.00000000
0.35443038,0.02137931,0.00000000
0.35443038,0.02551724,0.00000000
0.35443038,0.02965517,0.00000000
0.35443038,0.03379310,0.00000000
0.35443038,0.03793103,0.00000000
0.35443038,0.04206897,0.00000000
0.35443038,0.04620690,0.00000000
0.35443038,0.05034483,0.00000000
0.35443038,0.05448276,0.00000000
0.35443038,0.05862069,0.00000000
0.35443038,0.06275862,0.00000000
0.35443038,0.06689655,0.00000000
0.35443038,0.07103448,0.00000000
0.35443038,0.07517241,0.00000000
0.35443038,0.07931034,0.00000000
0.35443038,0.08344828,0.00000000
0.35443038,0.08758621,0.00000000
0.35443038,0.09172414,0.00000001
